Date,مذاكرة,
2023-01-09,Entry(timestamp=2023-01-09, value=-1),
2023-01-08,Entry(timestamp=2023-01-08, value=4000),
2023-01-07,Entry(timestamp=2023-01-07, value=4000),
2023-01-06,Entry(timestamp=2023-01-06, value=0),
2023-01-05,Entry(timestamp=2023-01-05, value=4050),
2023-01-04,Entry(timestamp=2023-01-04, value=4050),
2023-01-03,Entry(timestamp=2023-01-03, value=4150),
2023-01-02,Entry(timestamp=2023-01-02, value=4200),
2023-01-01,Entry(timestamp=2023-01-01, value=4100),
2022-12-31,Entry(timestamp=2022-12-31, value=0),
2022-12-30,Entry(timestamp=2022-12-30, value=-1),
2022-12-29,Entry(timestamp=2022-12-29, value=4000),
2022-12-28,Entry(timestamp=2022-12-28, value=2000),
2022-12-27,Entry(timestamp=2022-12-27, value=2400),
2022-12-26,Entry(timestamp=2022-12-26, value=2000),
2022-12-25,Entry(timestamp=2022-12-25, value=1750),
2022-12-24,Entry(timestamp=2022-12-24, value=-1),
2022-12-23,Entry(timestamp=2022-12-23, value=2150),
2022-12-22,Entry(timestamp=2022-12-22, value=2000),
2022-12-21,Entry(timestamp=2022-12-21, value=2000),
2022-12-20,Entry(timestamp=2022-12-20, value=2650),
2022-12-19,Entry(timestamp=2022-12-19, value=3100),
2022-12-18,Entry(timestamp=2022-12-18, value=2500),
2022-12-17,Entry(timestamp=2022-12-17, value=2400),
2022-12-16,Entry(timestamp=2022-12-16, value=1500),
2022-12-15,Entry(timestamp=2022-12-15, value=1650),
2022-12-14,Entry(timestamp=2022-12-14, value=2650),
2022-12-13,Entry(timestamp=2022-12-13, value=450),
2022-12-12,Entry(timestamp=2022-12-12, value=2350),
2022-12-11,Entry(timestamp=2022-12-11, value=1250),
2022-12-10,Entry(timestamp=2022-12-10, value=-1),
2022-12-09,Entry(timestamp=2022-12-09, value=0),
2022-12-08,Entry(timestamp=2022-12-08, value=2850),
2022-12-07,Entry(timestamp=2022-12-07, value=2500),
2022-12-06,Entry(timestamp=2022-12-06, value=1750),
2022-12-05,Entry(timestamp=2022-12-05, value=3250),
2022-12-04,Entry(timestamp=2022-12-04, value=3200),
2022-12-03,Entry(timestamp=2022-12-03, value=1250),
2022-12-02,Entry(timestamp=2022-12-02, value=1500),
2022-12-01,Entry(timestamp=2022-12-01, value=-1),
2022-11-30,Entry(timestamp=2022-11-30, value=-1),
2022-11-29,Entry(timestamp=2022-11-29, value=2200),
2022-11-28,Entry(timestamp=2022-11-28, value=2400),
2022-11-27,Entry(timestamp=2022-11-27, value=1500),
2022-11-26,Entry(timestamp=2022-11-26, value=1650),
2022-11-25,Entry(timestamp=2022-11-25, value=250),
2022-11-24,Entry(timestamp=2022-11-24, value=2000),
2022-11-23,Entry(timestamp=2022-11-23, value=2350),
2022-11-22,Entry(timestamp=2022-11-22, value=2100),
2022-11-21,Entry(timestamp=2022-11-21, value=2000),
2022-11-20,Entry(timestamp=2022-11-20, value=1500),
2022-11-19,Entry(timestamp=2022-11-19, value=1000),
2022-11-18,Entry(timestamp=2022-11-18, value=-1),
2022-11-17,Entry(timestamp=2022-11-17, value=2150),
2022-11-16,Entry(timestamp=2022-11-16, value=1750),
2022-11-15,Entry(timestamp=2022-11-15, value=1500),
2022-11-14,Entry(timestamp=2022-11-14, value=700),
2022-11-13,Entry(timestamp=2022-11-13, value=1600),
2022-11-12,Entry(timestamp=2022-11-12, value=-1),
2022-11-11,Entry(timestamp=2022-11-11, value=-1),
2022-11-10,Entry(timestamp=2022-11-10, value=700),
2022-11-09,Entry(timestamp=2022-11-09, value=1950),
2022-11-08,Entry(timestamp=2022-11-08, value=3200),
2022-11-07,Entry(timestamp=2022-11-07, value=2200),
2022-11-06,Entry(timestamp=2022-11-06, value=1800),
2022-11-05,Entry(timestamp=2022-11-05, value=2800),
2022-11-04,Entry(timestamp=2022-11-04, value=-1),
2022-11-03,Entry(timestamp=2022-11-03, value=1250),
2022-11-02,Entry(timestamp=2022-11-02, value=850),
2022-11-01,Entry(timestamp=2022-11-01, value=3100),
2022-10-31,Entry(timestamp=2022-10-31, value=1100),
2022-10-30,Entry(timestamp=2022-10-30, value=1300),
2022-10-29,Entry(timestamp=2022-10-29, value=2050),
2022-10-28,Entry(timestamp=2022-10-28, value=-1),
2022-10-27,Entry(timestamp=2022-10-27, value=1250),
2022-10-26,Entry(timestamp=2022-10-26, value=2350),
2022-10-25,Entry(timestamp=2022-10-25, value=2250),
2022-10-24,Entry(timestamp=2022-10-24, value=1150),
2022-10-23,Entry(timestamp=2022-10-23, value=1000),
2022-10-22,Entry(timestamp=2022-10-22, value=950),
2022-10-21,Entry(timestamp=2022-10-21, value=1950),
2022-10-20,Entry(timestamp=2022-10-20, value=350),
2022-10-19,Entry(timestamp=2022-10-19, value=2000),
2022-10-18,Entry(timestamp=2022-10-18, value=500),
2022-10-17,Entry(timestamp=2022-10-17, value=1850),
2022-10-16,Entry(timestamp=2022-10-16, value=2150),
2022-10-15,Entry(timestamp=2022-10-15, value=500),
2022-10-14,Entry(timestamp=2022-10-14, value=1000),
2022-10-13,Entry(timestamp=2022-10-13, value=2000),
2022-10-12,Entry(timestamp=2022-10-12, value=1000),
2022-10-11,Entry(timestamp=2022-10-11, value=-1),
2022-10-10,Entry(timestamp=2022-10-10, value=-1),
2022-10-09,Entry(timestamp=2022-10-09, value=1000),
2022-10-08,Entry(timestamp=2022-10-08, value=-1),
2022-10-07,Entry(timestamp=2022-10-07, value=2000),
2022-10-06,Entry(timestamp=2022-10-06, value=500),
2022-10-05,Entry(timestamp=2022-10-05, value=-1),
2022-10-04,Entry(timestamp=2022-10-04, value=-1),
2022-10-03,Entry(timestamp=2022-10-03, value=-1),
2022-10-02,Entry(timestamp=2022-10-02, value=-1),
2022-10-01,Entry(timestamp=2022-10-01, value=-1),
2022-09-30,Entry(timestamp=2022-09-30, value=-1),
2022-09-29,Entry(timestamp=2022-09-29, value=-1),
2022-09-28,Entry(timestamp=2022-09-28, value=-1),
2022-09-27,Entry(timestamp=2022-09-27, value=-1),
2022-09-26,Entry(timestamp=2022-09-26, value=-1),
2022-09-25,Entry(timestamp=2022-09-25, value=-1),
2022-09-24,Entry(timestamp=2022-09-24, value=-1),
2022-09-23,Entry(timestamp=2022-09-23, value=-1),
2022-09-22,Entry(timestamp=2022-09-22, value=-1),
2022-09-21,Entry(timestamp=2022-09-21, value=-1),
2022-09-20,Entry(timestamp=2022-09-20, value=-1),
2022-09-19,Entry(timestamp=2022-09-19, value=-1),
2022-09-18,Entry(timestamp=2022-09-18, value=-1),
2022-09-17,Entry(timestamp=2022-09-17, value=-1),
2022-09-16,Entry(timestamp=2022-09-16, value=-1),
2022-09-15,Entry(timestamp=2022-09-15, value=-1),
2022-09-14,Entry(timestamp=2022-09-14, value=-1),
2022-09-13,Entry(timestamp=2022-09-13, value=-1),
2022-09-12,Entry(timestamp=2022-09-12, value=-1),
2022-09-11,Entry(timestamp=2022-09-11, value=-1),
2022-09-10,Entry(timestamp=2022-09-10, value=-1),
2022-09-09,Entry(timestamp=2022-09-09, value=-1),
2022-09-08,Entry(timestamp=2022-09-08, value=-1),
2022-09-07,Entry(timestamp=2022-09-07, value=-1),
2022-09-06,Entry(timestamp=2022-09-06, value=4150),
2022-09-05,Entry(timestamp=2022-09-05, value=500),
2022-09-04,Entry(timestamp=2022-09-04, value=-1),
2022-09-03,Entry(timestamp=2022-09-03, value=-1),
2022-09-02,Entry(timestamp=2022-09-02, value=-1),
2022-09-01,Entry(timestamp=2022-09-01, value=3000),
2022-08-31,Entry(timestamp=2022-08-31, value=750),
2022-08-30,Entry(timestamp=2022-08-30, value=500),
2022-08-29,Entry(timestamp=2022-08-29, value=-1),
2022-08-28,Entry(timestamp=2022-08-28, value=500),
2022-08-27,Entry(timestamp=2022-08-27, value=-1),
2022-08-26,Entry(timestamp=2022-08-26, value=-1),
2022-08-25,Entry(timestamp=2022-08-25, value=500),
2022-08-24,Entry(timestamp=2022-08-24, value=500),
2022-08-23,Entry(timestamp=2022-08-23, value=1500),
2022-08-22,Entry(timestamp=2022-08-22, value=250),
2022-08-21,Entry(timestamp=2022-08-21, value=2750),
2022-08-20,Entry(timestamp=2022-08-20, value=-1),
2022-08-19,Entry(timestamp=2022-08-19, value=350),
2022-08-18,Entry(timestamp=2022-08-18, value=-1),
2022-08-17,Entry(timestamp=2022-08-17, value=1250),
2022-08-16,Entry(timestamp=2022-08-16, value=-1),
2022-08-15,Entry(timestamp=2022-08-15, value=-1),
2022-08-14,Entry(timestamp=2022-08-14, value=-1),
2022-08-13,Entry(timestamp=2022-08-13, value=1250),
2022-08-12,Entry(timestamp=2022-08-12, value=2150),
2022-08-11,Entry(timestamp=2022-08-11, value=250),
2022-08-10,Entry(timestamp=2022-08-10, value=2500),
2022-08-09,Entry(timestamp=2022-08-09, value=500),
2022-08-08,Entry(timestamp=2022-08-08, value=-1),
2022-08-07,Entry(timestamp=2022-08-07, value=-1),
2022-08-06,Entry(timestamp=2022-08-06, value=-1),
2022-08-05,Entry(timestamp=2022-08-05, value=1200),
2022-08-04,Entry(timestamp=2022-08-04, value=2200),
2022-08-03,Entry(timestamp=2022-08-03, value=900),
2022-08-02,Entry(timestamp=2022-08-02, value=-1),
2022-08-01,Entry(timestamp=2022-08-01, value=-1),
2022-07-31,Entry(timestamp=2022-07-31, value=-1),
2022-07-30,Entry(timestamp=2022-07-30, value=-1),
2022-07-29,Entry(timestamp=2022-07-29, value=-1),
2022-07-28,Entry(timestamp=2022-07-28, value=-1),
2022-07-27,Entry(timestamp=2022-07-27, value=-1),
2022-07-26,Entry(timestamp=2022-07-26, value=-1),
2022-07-25,Entry(timestamp=2022-07-25, value=-1),
2022-07-24,Entry(timestamp=2022-07-24, value=-1),
2022-07-23,Entry(timestamp=2022-07-23, value=-1),
2022-07-22,Entry(timestamp=2022-07-22, value=-1),
2022-07-21,Entry(timestamp=2022-07-21, value=-1),
2022-07-20,Entry(timestamp=2022-07-20, value=-1),
2022-07-19,Entry(timestamp=2022-07-19, value=-1),
2022-07-18,Entry(timestamp=2022-07-18, value=-1),
2022-07-17,Entry(timestamp=2022-07-17, value=-1),
2022-07-16,Entry(timestamp=2022-07-16, value=-1),
2022-07-15,Entry(timestamp=2022-07-15, value=-1),
2022-07-14,Entry(timestamp=2022-07-14, value=-1),
2022-07-13,Entry(timestamp=2022-07-13, value=-1),
2022-07-12,Entry(timestamp=2022-07-12, value=-1),
2022-07-11,Entry(timestamp=2022-07-11, value=-1),
2022-07-10,Entry(timestamp=2022-07-10, value=-1),
2022-07-09,Entry(timestamp=2022-07-09, value=-1),
2022-07-08,Entry(timestamp=2022-07-08, value=-1),
2022-07-07,Entry(timestamp=2022-07-07, value=-1),
2022-07-06,Entry(timestamp=2022-07-06, value=-1),
2022-07-05,Entry(timestamp=2022-07-05, value=-1),
2022-07-04,Entry(timestamp=2022-07-04, value=-1),
2022-07-03,Entry(timestamp=2022-07-03, value=-1),
2022-07-02,Entry(timestamp=2022-07-02, value=-1),
2022-07-01,Entry(timestamp=2022-07-01, value=-1),
2022-06-30,Entry(timestamp=2022-06-30, value=-1),
2022-06-29,Entry(timestamp=2022-06-29, value=-1),
2022-06-28,Entry(timestamp=2022-06-28, value=-1),
2022-06-27,Entry(timestamp=2022-06-27, value=-1),
2022-06-26,Entry(timestamp=2022-06-26, value=-1),
2022-06-25,Entry(timestamp=2022-06-25, value=-1),
2022-06-24,Entry(timestamp=2022-06-24, value=-1),
2022-06-23,Entry(timestamp=2022-06-23, value=-1),
2022-06-22,Entry(timestamp=2022-06-22, value=-1),
2022-06-21,Entry(timestamp=2022-06-21, value=1500),
2022-06-20,Entry(timestamp=2022-06-20, value=-1),
2022-06-19,Entry(timestamp=2022-06-19, value=2000),
2022-06-18,Entry(timestamp=2022-06-18, value=-1),
2022-06-17,Entry(timestamp=2022-06-17, value=-1),
2022-06-16,Entry(timestamp=2022-06-16, value=-1),
2022-06-15,Entry(timestamp=2022-06-15, value=-1),
2022-06-14,Entry(timestamp=2022-06-14, value=-1),
2022-06-13,Entry(timestamp=2022-06-13, value=-1),
2022-06-12,Entry(timestamp=2022-06-12, value=-1),
2022-06-11,Entry(timestamp=2022-06-11, value=-1),
2022-06-10,Entry(timestamp=2022-06-10, value=-1),
2022-06-09,Entry(timestamp=2022-06-09, value=-1),
2022-06-08,Entry(timestamp=2022-06-08, value=-1),
2022-06-07,Entry(timestamp=2022-06-07, value=-1),
2022-06-06,Entry(timestamp=2022-06-06, value=-1),
2022-06-05,Entry(timestamp=2022-06-05, value=-1),
2022-06-04,Entry(timestamp=2022-06-04, value=-1),
2022-06-03,Entry(timestamp=2022-06-03, value=-1),
2022-06-02,Entry(timestamp=2022-06-02, value=-1),
2022-06-01,Entry(timestamp=2022-06-01, value=-1),
2022-05-31,Entry(timestamp=2022-05-31, value=-1),
2022-05-30,Entry(timestamp=2022-05-30, value=3000),
2022-05-29,Entry(timestamp=2022-05-29, value=3000),
2022-05-28,Entry(timestamp=2022-05-28, value=2000),
2022-05-27,Entry(timestamp=2022-05-27, value=-1),
2022-05-26,Entry(timestamp=2022-05-26, value=-1),
2022-05-25,Entry(timestamp=2022-05-25, value=-1),
2022-05-24,Entry(timestamp=2022-05-24, value=-1),
2022-05-23,Entry(timestamp=2022-05-23, value=-1),
2022-05-22,Entry(timestamp=2022-05-22, value=-1),
2022-05-21,Entry(timestamp=2022-05-21, value=-1),
2022-05-20,Entry(timestamp=2022-05-20, value=-1),
2022-05-19,Entry(timestamp=2022-05-19, value=-1),
2022-05-18,Entry(timestamp=2022-05-18, value=-1),
2022-05-17,Entry(timestamp=2022-05-17, value=2000),
2022-05-16,Entry(timestamp=2022-05-16, value=-1),
2022-05-15,Entry(timestamp=2022-05-15, value=3150),
2022-05-14,Entry(timestamp=2022-05-14, value=-1),
2022-05-13,Entry(timestamp=2022-05-13, value=-1),
2022-05-12,Entry(timestamp=2022-05-12, value=-1),
2022-05-11,Entry(timestamp=2022-05-11, value=-1),
2022-05-10,Entry(timestamp=2022-05-10, value=-1),
2022-05-09,Entry(timestamp=2022-05-09, value=-1),
2022-05-08,Entry(timestamp=2022-05-08, value=-1),
2022-05-07,Entry(timestamp=2022-05-07, value=-1),
2022-05-06,Entry(timestamp=2022-05-06, value=2350),
2022-05-05,Entry(timestamp=2022-05-05, value=-1),
2022-05-04,Entry(timestamp=2022-05-04, value=1000),
2022-05-03,Entry(timestamp=2022-05-03, value=1000),
2022-05-02,Entry(timestamp=2022-05-02, value=-1),
2022-05-01,Entry(timestamp=2022-05-01, value=-1),
2022-04-30,Entry(timestamp=2022-04-30, value=-1),
2022-04-29,Entry(timestamp=2022-04-29, value=-1),
2022-04-28,Entry(timestamp=2022-04-28, value=-1),
2022-04-27,Entry(timestamp=2022-04-27, value=-1),
2022-04-26,Entry(timestamp=2022-04-26, value=-1),
2022-04-25,Entry(timestamp=2022-04-25, value=-1),
2022-04-24,Entry(timestamp=2022-04-24, value=-1),
2022-04-23,Entry(timestamp=2022-04-23, value=-1),
2022-04-22,Entry(timestamp=2022-04-22, value=-1),
2022-04-21,Entry(timestamp=2022-04-21, value=1000),
2022-04-20,Entry(timestamp=2022-04-20, value=2000),
2022-04-19,Entry(timestamp=2022-04-19, value=-1),
2022-04-18,Entry(timestamp=2022-04-18, value=-1),
2022-04-17,Entry(timestamp=2022-04-17, value=-1),
2022-04-16,Entry(timestamp=2022-04-16, value=-1),
2022-04-15,Entry(timestamp=2022-04-15, value=1000),
2022-04-14,Entry(timestamp=2022-04-14, value=-1),
2022-04-13,Entry(timestamp=2022-04-13, value=-1),
2022-04-12,Entry(timestamp=2022-04-12, value=2300),
2022-04-11,Entry(timestamp=2022-04-11, value=-1),
2022-04-10,Entry(timestamp=2022-04-10, value=-1),
2022-04-09,Entry(timestamp=2022-04-09, value=-1),
2022-04-08,Entry(timestamp=2022-04-08, value=-1),
2022-04-07,Entry(timestamp=2022-04-07, value=0),
2022-04-06,Entry(timestamp=2022-04-06, value=-1),
2022-04-05,Entry(timestamp=2022-04-05, value=-1),
2022-04-04,Entry(timestamp=2022-04-04, value=-1),
2022-04-03,Entry(timestamp=2022-04-03, value=-1),
2022-04-02,Entry(timestamp=2022-04-02, value=-1),
2022-04-01,Entry(timestamp=2022-04-01, value=-1),
2022-03-31,Entry(timestamp=2022-03-31, value=-1),
2022-03-30,Entry(timestamp=2022-03-30, value=-1),
2022-03-29,Entry(timestamp=2022-03-29, value=0),
